         181553967 function calls (161947951 primitive calls) in 91.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     1494    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
       36    0.000    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:163(read_meta_message)
       34    0.000    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:203(convert_zone_to_partial_params)
       17    0.000    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/modulation_converter.py:130(calculate_modulation_params)
     1648    0.000    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:384(<listcomp>)
       36    0.000    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:461(build_meta_message)
      103    0.001    0.000    0.001    0.000 /usr/lib/python3.11/ctypes/__init__.py:511(cast)
      103    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/effects/processing.py:54(process_audio)
      746    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/modulation_converter.py:101(process_zone_modulators)
       96    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:381(check)
      309    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       90    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/numeric.py:324(full)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/core/filter.py:12(__init__)
       68    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/modulation_converter.py:254(_process_single_modulator)
       17    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:241(_setup_default_modulation_matrix)
      136    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:164(check_int)
      103    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      726    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/decode.py:28(_decode_pitchwheel_data)
       51    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/envelope_converter.py:115(calculate_average_envelope)
       11    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:92(read_chunk_header)
      103    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/lib/_shape_base_impl.py:624(_column_stack_dispatcher)
       90    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:85(_recalculate_increments)
       68    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/modulation_converter.py:173(_get_modulator_source_name)
       51    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:160(get_channel_state)
      136    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/checks.py:70(check_time)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:102(read_file_header)
      193    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      207    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1781    0.000    0.000    0.000    0.000 {built-in method time.time}
      103    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/opuslib/classes.py:138(__init__)
        5    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:218(note_off)
       68    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/modulation_converter.py:297(_source_oper_to_name)
      153    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/modulation/matrix.py:16(set_route)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/opuslib/api/encoder.py:55(create_state)
        1    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/parsing/preset_parser.py:187(_parse_modulator_data)
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:1533(resize)
       51    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/core/oscillator.py:12(__init__)
        5    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:332(note_off)
        6    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:368(decode)
      103    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/effects/core.py:204(<listcomp>)
       36    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:264(check)
       10    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/partial_generator.py:190(note_off)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
      102    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:172(cents_to_amplitude)
      378    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      103    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/numeric.py:1964(isscalar)
       17    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_manager.py:130(allocate_voice)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:63(<genexpr>)
      103    0.000    0.000    0.000    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:1904(ravel)
      376    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:2236(_clip_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:318(note_off)
      135    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      103    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
      510    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:29(convert_time_cents_to_seconds)
      272    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/modulation/matrix.py:36(clear_route)
       68    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/modulation_converter.py:217(_normalize_modulator_amount)
      103    0.000    0.000    0.000    0.000 {method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects}
        9    0.000    0.000    0.000    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:226(decode)
       34    0.000    0.000    0.000    0.000 /mnt/c/Work/guga/syxg/synth/sf2/conversion/parameter_converter.py:185(convert_envelope_times)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
